Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A client of yours has asked you for advice because he is looking for a quick and convenient solution for adding functionalities to an Application. Whenever a new customer is created in the Firebase database, he wants to perform a series of welcome activities and a series of follow-up actions, regardless of the specific function that recorded the new customer record. Which of the following solutions will you suggest (choose 1)?",multiple-choice,Compute Engine and Managed Instances,,App Engine Flexible Environment,,App Engine Standard Environment,,Cloud Functions,,Cloud Run (fully managed),,,,4,"Correct answer: D Any of these environments can host the additional functionalities required. The best solution is with Cloud Function, because you can handle events in the Firebase Realtime Database with no need to update client code. Cloud Functions may have the full administrative privileges to ensures that each change to the database is processed individually. Furthermore Cloud Functions are a decoupled economic solution, because of the pay-as-you go model. Functions handle database events in 2 ways; listening for specifically for only creation, update, or deletion events, or you can listen for any change of any kind to a path. These Cloud Functions event handlers are supported onWrite(), which triggers when data is created, updated, or deleted in the Realtime Database. onCreate(), which triggers when new data is created in the Realtime Database. onUpdate(), which triggers when data is updated in the Realtime Database. onDelete(), which triggers when data is deleted from the Realtime Database. For any further detail: https://firebase.google.com/docs/database/extend-with-functions | https://firebase.google.com/docs/database/extend-with-functions: https://firebase.google.com/docs/database/extend-with-functions",
A company asked you to plan a systems migration and a new technological architecture for the Cloud. You have been asked to indicate a series of patterns that can allow you to obtain greater efficiency in Availability. Which of these options do you suggest (pick 2)?,multi-select,Throttling,,Cache-Aside,,Materialized View,,Sharding,,Queue-Based Load Leveling,,,,"1,5","Correct answers: A, E Throttling Control the consumption of resources used by an instance or a service; it allows applications to use resources only up to a limit, and then throttle them when this limit is reached. When usage exceeds the threshold, it can throttle requests from one or more users. This will enable the system to continue functioning and meet any service level agreements (SLAs) that are in place. Queue-Based Load Leveling Use a queue that acts as a buffer between a task and a service it invokes in order to smooth intermittent heavy loads that can cause the service to fail or the task to time out. The task and the service run asynchronously. For any further detail: https://cloud.google.com/solutions/hybrid-and-multi-cloud-patterns-and-practices | https://cloud.google.com/solutions/hybrid-and-multi-cloud-patterns-and-practices: https://cloud.google.com/solutions/hybrid-and-multi-cloud-patterns-and-practices",
A company asked you to plan a systems migration and a new technological architecture for the Cloud. You have been asked to indicate a series of patterns that can allow you to obtain greater efficiency in processing large amounts of data. Which of these options do you suggest (pick 3)?,multi-select,Throttling,,Cache-Aside,,Materialized View,,Sharding,,Queue-Based Load Leveling,,,,"2,3,4","Correct answers: B, C, D Cache-Aside Load data on demand into a cache from a data store. This can improve performance and also helps to maintain consistency between data held in the cache and data in the underlying data store. If an application updates information, it can follow the write-through strategy by making the modification to the data store, and by invalidating the corresponding item in the cache. Materialized View Prepopulated views over the data in one or more tables when the data isn’t ideally structured for required query operations. This can improve querying and data extraction performance. Sharding Split Tables into a set of horizontal partitions or shards. This improves scalability. For any further detail: https://cloud.google.com/solutions/hybrid-and-multi-cloud-patterns-and-practices | https://cloud.google.com/solutions/hybrid-and-multi-cloud-patterns-and-practices: https://cloud.google.com/solutions/hybrid-and-multi-cloud-patterns-and-practices",
"A large bank has migrated most of the applications to the GCP cloud. Now he has the problem of replacing the database on the Mainframe with a Cloud solution that provides the same levels of reliability and transactional security. In addition to this, it wants to provide an integrated system all over the world and therefore let interact the different regional instances. Which is the best solution to adopt?",multiple-choice,Cloud SQL Ingres,,Cloud BigTable,,Cloud Spanner,,Cloud SQL Server,,,,,,3,"Correct Answer C Cloud Spanner is the first scalable, enterprise-grade, globally-distributed, and strongly consistent database service built for the cloud specifically to combine the benefits of relational database structure with non-relational horizontal scale. This combination delivers high-performance transactions and strong consistency across rows, regions, and continents with an industry-leading 99.999% availability SLA, no planned downtime, and enterprise-grade security. Cloud Spanner revolutionizes database administration and management and makes application development more efficient. Cloud SQL for PostgreSQL scale up to 64 processor cores and more than 400 GB of RAMand will automatically scale storage. It is powerful, but regional. The HA configuration, sometimes called a cluster, provides data redundancy. A Cloud SQL instance configured for HA is also called a regional instance and is located in a primary and secondary zone within the configured region. Within a regional instance, the configuration is made up of a primary instance (master) and a standby instance. Through synchronous replication to each zone’s persistent disk, all writes made to the primary instance are also made to the standby instance. In the event of an instance or zone failure, this configuration reduces downtime, and your data continues to be available to client applications. Cloud Bigtable is a noSQL DB: a sparsely populated table that can scale to billions of rows and thousands of columns, enabling you to store terabytes or even petabytes of data. A single value in each row is indexed; this value is known as the row key. Cloud Bigtable is ideal for storing very large amounts of single-keyed data with very low latency. It supports high read and write throughput at low latency, and it is an ideal data source for MapReduce operations. Very powerful, but non suitable for financial transactional applications. Also SQL Server is regional and not global. For Cloud SQL Services there are different location types, never global: A regional location is a specific geographic place, such as London. A multi-regional location is a large geographic area, such as the United States, that contains at least two geographic places. Multi- regional locations are only used for backups. For any further detail: https://cloud.google.com/spanner/ https://cloud.google.com/sql/docs/postgres/high-availability https://cloud.google.com/bigtable/docs/overview https://cloud.google.com/sql/docs/sqlserver/ | https://cloud.google.com/spanner/: https://cloud.google.com/spanner/ | https://cloud.google.com/sql/docs/postgres/high-availability: https://cloud.google.com/sql/docs/postgres/high-availability | https://cloud.google.com/bigtable/docs/overview: https://cloud.google.com/bigtable/docs/overview | https://cloud.google.com/sql/docs/sqlserver/: https://cloud.google.com/sql/docs/sqlserver/",
"As a Developer you have tested the features of your interest of GCP, Firebase and GSuite. You are now required to organize a development project and design the rules for security. Which of these directives is the most correct to manage Team members in a coordinated and secure manner?",multiple-choice,Use GSuite or Gmail user accounts,,Use Cloud Identity,,Use Cloud Audit,,Use Cloud Firewall,,,,,,2,"Correct Answer B Google Cloud uses Google accounts for authentication and access management. Your developers and other technical staff must have Google accounts to access Google Cloud. Google recommends using fully managed Google accounts tied to your corporate domain name through Cloud Identity. This way, the developers can access Google Cloud using their corporate email IDs, and your admins can see and control the accounts through the Admin Console. Cloud Identity is q unified identity, access, app, and endpoint management (IAM/EMM) platform that helps IT and security teams maximize end-user efficiency, protect company data, and transition to a digital workspace. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a8-1-1024x530.png | https://skillcertpro.com/wp-content/uploads/2020/08/a8-1.png | For any further detail: https://cloud.google.com/docs/enterprise/best-practices-for-enterprise-organizations#manage-identities https://cloud.google.com/identity/solutions/enable-sso | https://cloud.google.com/docs/enterprise/best-practices-for-enterprise-organizations#manage-identities: https://cloud.google.com/docs/enterprise/best-practices-for-enterprise-organizations#manage-identities | https://cloud.google.com/identity/solutions/enable-sso: https://cloud.google.com/identity/solutions/enable-sso",
"Blue/green deployments, Traffic-splitting deployments, Rolling deployments and Canary deployments. Which of them are supported by App Engine and which by GKE (pick 2)?",multi-select,"App Engine: Blue/green, Traffic-splitting, Rolling and Canary",,"GKE: Blue/green, Traffic-splitting, Rolling and Canary",,"GKE: Blue/green and Rolling automated, Traffic-splitting with tools",,"App Engine: Blue/green and Rolling automated, Traffic-splitting with tools",,,,,,"1,3","Correct answers: A, C App Engine has all the features of traffic splitting. GKE hase automated rolling updates but you have to create specific configurations for traffic splitting. Tools like Spinnaker make this task easier. See the referred material for a detailed procedure For any further detail: https://cloud.google.com/kubernetes-engine/docs/how-to/updating-apps https://cloud.google.com/solutions/automated-canary-analysis-kubernetes-engine-spinnaker https://cloud.google.com/appengine/docs/admin-api/migrating-splitting-traffic | https://cloud.google.com/kubernetes-engine/docs/how-to/updating-apps: https://cloud.google.com/kubernetes-engine/docs/how-to/updating-apps | https://cloud.google.com/solutions/automated-canary-analysis-kubernetes-engine-spinnaker: https://cloud.google.com/solutions/automated-canary-analysis-kubernetes-engine-spinnaker | https://cloud.google.com/appengine/docs/admin-api/migrating-splitting-traffic: https://cloud.google.com/appengine/docs/admin-api/migrating-splitting-traffic",
Examine the following Statement: bq query \ –use_legacy_sql=false \ –external_table_definition=follows::/tmp/follows_def \ ‘SELECT COUNT(rowkey) FROM Clients’ Where external_table_definition is a JSON file with sourceUris and sourceFormat=BIGTABLE parameters. Which kind of Data we are querying and which GCP product we are using?,multiple-choice,SQL Data with Cloud SQL,,SQL Data with Bigtable,,Big Query external tables with Google Drive,,Bigtable external tables with Big Query,,,,,,4,"Correct Answer D With Big Query you can run sql queries with external data from: Cloud SQL, Cloud Storage, Google Drive. An external data source (also known as a federated data source) is a data source that you can query directly even though the data is not stored in BigQuery. Instead of loading or streaming the data, you create a table that references the external data source. To query an external data source without creating a permanent table, you run a command to combine: A table definition file with a query An inline schema definition with a query A JSON schema definition file with a query The table definition file or supplied schema is used to create the temporary external table, and the query runs against the temporary external table. Querying an external data source using a temporary table is supported by the BigQuery CLI and API. For any further detail: https://cloud.google.com/bigquery/external-data-sources https://cloud.google.com/bigquery/external-data-bigtable https://cloud.google.com/bigquery/external-table-definition | https://cloud.google.com/bigquery/external-data-sources: https://cloud.google.com/bigquery/external-data-sources | https://cloud.google.com/bigquery/external-data-bigtable: https://cloud.google.com/bigquery/external-data-bigtable | https://cloud.google.com/bigquery/external-table-definition: https://cloud.google.com/bigquery/external-table-definition",
"For a project of yours, it is required a database with a non-rigid, high-performance schema that can easily manage Customers, Orders and Invoices relationships; in other words, you need to deal with hierarchically structured objects and you are looking for an economically convenient solution. In addition transactions, with serializable isolation enforcement are required. Which of the following products do you choose?",multiple-choice,Cloud Datastore,,Cloud Spanner,,Cloud Bigtable,,BigQuery,,Cloud SQL,,,,1,"Correct answer: A Datastore manages relationships between entities (records), in a hierarchically structured space similar to the directory structure of a file system. When you create an entity, you can optionally designate another entity as its parent; the new entity is a child of the parent entity. An entity without a parent is a root entity. A transaction is a set of Datastore operations on one or more entities in up to 25 entity groups. Each transaction is guaranteed to be atomic, which means that transactions are never partially applied. Either all of the operations in the transaction are applied, or none of them are applied. Regarding the other answer, for a flexible schema you need a noSQL Database. So, Datastore or Bigtable. All the others are SQL DBs. Datastore is the one that can manage transactions, even with serializable isolation enforcement. Bigtable don’t manage transactions. For any further detail: https://cloud.google.com/datastore/docs/concepts/entities#ancestor_paths https://cloud.google.com/datastore/docs/concepts/cloud-datastore-transactions | https://cloud.google.com/datastore/docs/concepts/entities#ancestor_paths: https://cloud.google.com/datastore/docs/concepts/entities#ancestor_paths | https://cloud.google.com/datastore/docs/concepts/cloud-datastore-transactions: https://cloud.google.com/datastore/docs/concepts/cloud-datastore-transactions",
How can you find out the problem origin and tune a slow SQL Statement in Cloud SQL or Cloud Spanner?,multiple-choice,Using Stackdriver Debugger,,Using Stackdriver Profiler,,Adding Secondary Indexes,,Examining Execution plans,,,,,,1,"Any SQL Database uses declarative statements that specify what data you want to retrieve. If you want to understand how it obtains the results, you should use look at execution plans. A query execution plan displays the cost associated with each step of the query. Using those costs, you can debug query performance issues and optimize your query. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a28.png | https://skillcertpro.com/wp-content/uploads/2020/08/a28.png | A and B are for procedural languages. C is wrong because it doesn’t address the problem; in case you may find out which index to add looking ad the execution plan. For any further detail: https://cloud.google.com/spanner/docs/sql-best-practices | https://cloud.google.com/spanner/docs/sql-best-practices: https://cloud.google.com/spanner/docs/sql-best-practices",
How do you set up an application in GKE organized with multiple containers that need to talk to each other and whose functions must be called by an external API?,multiple-choice,Create a set of L7 Load Balancers to organize the traffic. Create a workload,,Organize containers in a single PODs. Create a Service.,,Query Kubernetes to get the Pod IP address and setup the configuration accordingly. Use an Application Load Balancer,,Use gcloud to get the Pod IP address and setup the configuration accordingly. Use a Service,,,,,,2,"Correct Answer B The only correct way is to use a Pod with multiple containers and create a Service, that is the equivalent of a Load Balancer with a static IP Address for Compute Engine. Pods are the smallest objects in Kubernetes and they act as self-contained, isolated “logical hosts” that contain one or more containers (thy communicate with localhost) and all the systemic needs of the application it serves: Network: Pods are automatically assigned unique IP addresses. Storage: Pods can specify a set of shared storage volumes that can be shared among the containers. You may configure one (default) or more node pools. When you deploy Pods you can choose how to scale: a Deployment runs multiple replicas of your application and automatically replaces any instances that fail or become unresponsive. Services group a set of Pod endpoints into a single resource. You get a stable cluster IP address that clients inside the cluster can use to contact Pods in the Service. A client sends a request to the stable IP address, and the request is routed to one of the Pods in the Service. For any further detail: https://cloud.google.com/kubernetes-engine/docs/concepts/kubernetes-engine-overview | https://cloud.google.com/kubernetes-engine/docs/concepts/kubernetes-engine-overview: https://cloud.google.com/kubernetes-engine/docs/concepts/kubernetes-engine-overview",
